idfcod,idfarr,"idfarr,idfcod"
50090102,mlhmera2,"mlhmera2,50090102"
50090103,vlbbret2,"vlbbret2,50090103"
50090104,vlbparc2,"vlbparc2,50090104"
50090105,vlbtill2,"vlbtill2,50090105"
50090106,vlbraci,"vlbraci,50090106"
50090107,vlbcent,"vlbcent,50090107"
50090108,vlbpepi2,"vlbpepi2,50090108"
50090109,vlbweil2,"vlbweil2,50090109"
50090110,vlbplan2,"vlbplan2,50090110"
50090111,vlbalyc3,"vlbalyc3,50090111"
50090112,vlbrond2,"vlbrond2,50090112"
50090113,mbrcami2,"mbrcami2,50090113"
50090114,mbrsati,"mbrsati,50090114"
50090115,mbrcyr2,"mbrcyr2,50090115"
50090116,mbrjapo2,"mbrjapo2,50090116"
50090117,mlhmair,"mlhmair,50090117"
50090118,mlhvang,"mlhvang,50090118"
50090119,srccaba,"srccaba,50090119"
50090120,srcbeau,"srcbeau,50090120"
50090121,srcpres,"srcpres,50090121"
50090122,srcplac,"srcplac,50090122"
50090123,srcgare2,"srcgare2,50090123"
50090124,srcgare,"srcgare,50090124"
50090125,srcplac2,"srcplac2,50090125"
50090126,srcpres2,"srcpres2,50090126"
50090127,srcbeau2,"srcbeau2,50090127"
50090128,srccomm2,"srccomm2,50090128"
50090129,srcchev2,"srcchev2,50090129"
50090130,srcchap2,"srcchap2,50090130"
50090131,mlhmend,"mlhmend,50090131"
50090132,mlhfrat,"mlhfrat,50090132"
50090133,mlhexup,"mlhexup,50090133"
50090134,mlhvang2,"mlhvang2,50090134"
50090135,mlhmair2,"mlhmair2,50090135"
50090136,srccaba2,"srccaba2,50090136"
50090137,mlhexup2,"mlhexup2,50090137"
50090138,mlhfrat2,"mlhfrat2,50090138"
50090139,mlhmend2,"mlhmend2,50090139"
50090140,srcchap,"srcchap,50090140"
50090141,srcchev,"srcchev,50090141"
50090142,srccomm,"srccomm,50090142"
50090143,vlbcbou,"vlbcbou,50090143"
50090144,mlhbulo,"mlhbulo,50090144"
50090145,mlhroma,"mlhroma,50090145"
50090146,mlhmagn,"mlhmagn,50090146"
50090147,mlhvill,"mlhvill,50090147"
50090148,mlhvill2,"mlhvill2,50090148"
50090149,mlhmagn2,"mlhmagn2,50090149"
50090150,mlhroma2,"mlhroma2,50090150"
50090151,mlhbulo2,"mlhbulo2,50090151"
50090152,vlbpoll,"vlbpoll,50090152"
50090153,guylyce2,"guylyce2,50090153"
50090154,vlbbouc2,"vlbbouc2,50090154"
50090155,vlbpasc2,"vlbpasc2,50090155"
